IID	sex	pop	experim	meas.by	serum	growth
NA06984	1	CEU	5	5	FBS	43833.9
NA06984	1	CEU	3	5	FBS	60554.274
NA06984	1	CEU	4	5	FBS	64805.8
NA06984	1	CEU	6	5	FBS	59121.63
NA06985	2	CEU	5	10	FBS	42467.601
NA06985	2	CEU	1	7	BGS	44025.597
NA06985	2	CEU	8	2	FBS	65284.428
NA06985	2	CEU	11	12	FBS	63437.055
NA06985	2	CEU	7	12	FBS	47923.029
NA06985	2	CEU	3	3	FBS	49185.543
NA06985	2	CEU	9	12	FBS	54240.483
NA06985	2	CEU	6	10	FBS	42467.601
NA06985	2	CEU	10	11	BGS	44910.8
NA06985	2	CEU	2	7	BGS	34435.863
NA06986	1	CEU	5	5	FBS	123896.09
NA06986	1	CEU	3	5	FBS	115163.092
NA06986	1	CEU	4	5	FBS	135036.5
NA06986	1	CEU	6	5	FBS	66037.17
NA06989	2	CEU	6	5	FBS	83901.02
NA06989	2	CEU	3	5	FBS	114220.887
NA06989	2	CEU	4	5	FBS	111682.43
NA06989	2	CEU	5	5	FBS	117760.57
NA06991	2	CEU	8	2	FBS	115694.634
NA06991	2	CEU	6	10	FBS	NA
NA06991	2	CEU	2	7	BGS	60168.438
NA06991	2	CEU	1	7	BGS	71560.368
NA06991	2	CEU	7	12	FBS	112693.416
NA06991	2	CEU	11	12	FBS	119750.1855
NA06991	2	CEU	5	10	FBS	NA
NA06991	2	CEU	3	3	FBS	113838.714
NA06991	2	CEU	9	12	FBS	117755.682
NA06991	2	CEU	10	11	BGS	81531.1
NA06993	1	CEU	9	12	FBS	63253.905
NA06993	1	CEU	5	10	FBS	81471.225
NA06993	1	CEU	10	11	BGS	63809.46
NA06993	1	CEU	3	3	FBS	111073.7595
NA06993	1	CEU	7	12	FBS	118449.21
NA06993	1	CEU	2	7	BGS	48970.647
NA06993	1	CEU	1	7	BGS	56947.44
NA06993	1	CEU	6	10	FBS	81471.225
NA06993	1	CEU	11	12	FBS	127981.557
NA06993	1	CEU	8	2	FBS	122572.527
NA06994	1	CEU	6	10	FBS	79274.646
NA06994	1	CEU	11	12	FBS	88743.501
NA06994	1	CEU	7	12	FBS	125331.987
NA06994	1	CEU	2	7	BGS	30387.2712
NA06994	1	CEU	10	11	BGS	36060.2
NA06994	1	CEU	8	2	FBS	58689.807
NA06994	1	CEU	9	12	FBS	130581.066
NA06994	1	CEU	1	7	BGS	27639.777
NA06994	1	CEU	3	3	FBS	73983.4425
NA06994	1	CEU	5	10	FBS	79274.646
NA06995	1	CEU	3	5	FBS	80614.083
NA06995	1	CEU	4	5	FBS	71557.93
NA06995	1	CEU	5	5	FBS	89363.77
NA06995	1	CEU	6	5	FBS	63665.87
NA06997	2	CEU	3	5	FBS	60964.0416
NA06997	2	CEU	4	5	FBS	29804.61
NA06997	2	CEU	5	5	FBS	68749.63
NA06997	2	CEU	6	5	FBS	46350.56
NA07000	2	CEU	10	11	BGS	44961.29
NA07000	2	CEU	6	10	FBS	63565.26
NA07000	2	CEU	2	7	BGS	38311.317
NA07000	2	CEU	11	12	FBS	75660.79125
NA07000	2	CEU	1	7	BGS	46158.684
NA07000	2	CEU	9	12	FBS	58297.866
NA07000	2	CEU	7	12	FBS	53995.062
NA07000	2	CEU	8	2	FBS	105548.124
NA07000	2	CEU	5	10	FBS	63565.26
NA07000	2	CEU	3	3	FBS	68776.895
NA07014	2	CEU	3	5	FBS	63676.371
NA07014	2	CEU	4	5	FBS	78764.27
NA07014	2	CEU	5	5	FBS	50494.05
NA07014	2	CEU	6	5	FBS	34575.79
NA07019	2	CEU	9	12	FBS	71957.193
NA07019	2	CEU	3	3	FBS	94377.8055
NA07019	2	CEU	11	12	FBS	100136.652
NA07019	2	CEU	10	11	BGS	43697.7585
NA07019	2	CEU	5	10	FBS	75570.132
NA07019	2	CEU	2	7	BGS	37295.038
